owning_agency_name,reporting_agency_name,submission_period,federal_account_symbol,federal_account_name,agency_identifier_name,budget_function,budget_subfunction,budget_authority_unobligated_balance_brought_forward,adjustments_to_unobligated_balance_brought_forward_cpe,budget_authority_appropriated_amount,borrowing_authority_amount,contract_authority_amount,spending_authority_from_offsetting_collections_amount,total_other_budgetary_resources_amount,total_budgetary_resources,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,unobligated_balance,gross_outlay_amount,status_of_budgetary_resources_total,last_modified_date
Department of Justice,Department of Justice,FY2017Q4,015-0200,"Salaries and Expenses, Federal Bureau of Investigation, Justice",Department of Justice,National Defense,Defense-related activities,1826804331.38,252550439.74,8577578493.0,0.0,0.0,1047521675.74,1047521675.74,11704454939.86,10148375709.09,275979086.01,1556079230.77,9838080802.14,11704454939.86,2017-12-13
Department of Justice,Department of Justice,FY2017Q4,015-0333,"Payment to the Radiation Exposure Compensation Trust Fund, Justice",Department of Justice,National Defense,Defense-related activities,0.0,0.0,65000000.0,0.0,0.0,0.0,0.0,65000000.0,65000000.0,0.0,0.0,65000000.0,65000000.0,2017-12-13
Department of Justice,Department of Justice,FY2017Q4,015-8116,"Radiation Exposure Compensation Trust Fund, Justice",Department of Justice,National Defense,Defense-related activities,24844048.02,99127.96,65000000.0,0.0,0.0,0.0,0.0,89943175.98,59305766.19,99127.96,30637409.79,60496241.01,89943175.98,2017-12-13
Department of Labor,Department of Labor,FY2017Q4,016-1523,"Energy Employees Occupational Illness Compensation Fund, Labor",Department of Labor,National Defense,Atomic energy defense activities,0.0,0.0,1243170926.26,0.0,0.0,1147720.78,1147720.78,1244318647.04,1244318647.04,0.0,0.0,1245989268.82,1244318647.04,2017-11-01
Department of Labor,Department of Labor,FY2017Q4,016-1524,"Administrative Expenses, Energy Employees Occupational Illness Compensation Fund, Office of Workers' Compensation Programs, Labor",Department of Labor,National Defense,Atomic energy defense activities,3105953.78,7801102.28,123264879.36,0.0,0.0,0.0,0.0,134171935.42,130179802.56,7801102.28,3992132.86,124749642.18,134171935.42,2017-11-01
Department of Defense,Department of Defense,FY2017Q4,017-0380,"Coastal Defense Augmentation, Navy",Department of the Navy,National Defense,Department of Defense-Military,3391157.43,1019708.97,0.0,0.0,0.0,0.0,0.0,4410866.4,0.0,1019708.97,4410866.4,0.0,4410866.4,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,017-0513,"Ship Modernization, Operations and Sustainment Fund, Navy",Department of the Navy,National Defense,Department of Defense-Military,1642700000.0,-251630000.0,-1391070000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,017-0730,"Family Housing Construction, Navy and Marine Corps",Department of the Navy,National Defense,Department of Defense-Military,54814825.09,8146578.79,94011000.0,0.0,0.0,0.0,0.0,156972403.88,13053911.33,8266292.93,143918492.55,43556102.35,156972403.88,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,017-0735,"Family Housing Operation and Maintenance, Navy and Marine Corps",Department of the Navy,National Defense,Department of Defense-Military,190992762.26,12677187.65,300915000.0,0.0,0.0,10512455.13,10512455.13,515097405.04,321812105.62,22289636.3,193285299.42,329129782.66,515097405.04,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,017-0810,"Environmental Restoration, Navy",Department of the Navy,National Defense,Department of Defense-Military,0.0,42597.16,0.0,0.0,0.0,0.0,0.0,42597.16,0.0,42597.16,42597.16,471.83,42597.16,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,017-1000,"Medicare-Eligible Retiree Health Fund Contribution, Navy",Department of the Navy,National Defense,Department of Defense-Military,0.0,0.0,1352369000.0,0.0,0.0,0.0,0.0,1352369000.0,1352369000.0,0.0,0.0,1352369000.0,1352369000.0,2018-08-03
Department of Defense,Department of Defense,FY2017Q4,017-1001,"Medicare-Eligible Retiree Health Fund Contribution, Marine Corps",Department of the Navy,National Defense,Department of Defense-Military,0.0,0.0,766286000.0,0.0,0.0,0.0,0.0,766286000.0,766286000.0,0.0,0.0,766286000.0,766286000.0,2018-08-03
